noxchi,russian
"хьо цхьаъ бен даг чоьх вац,","кроме тебя нет никого в моем сердце,"
"хьо соьга хьоьжуш вац,","не смотришь ты на меня,"
"хьо бен сун оьшуш вац,","никто не нужен мне кроме тебя,"
"х1у де ас хууш яц.","что делать мне не знаю."
"алахьа ахь соьга,","скажи мне,"
"сан хьоме дег безам.","милая сердцу любовь,"
"х1у де ас сай дагна?","что мне сделать со своим сердцем?"
"х1у де ас безамна?","что мне сделать со своей любовью?"
"безамца къийсинарг","спорящий с любовью"
"цкъаа тоьлла вац,","никогда не побеждал,"
"сан безам, сан безам","моя любовь, моя любовь,"
"хьохь яла са ницкъ бац,","нет сил расстаться с тобой."
"безамо 1овжина дог","ужаленное любовью сердце,"
"молхно тодийр дац","не вылечить лекарством."
"сан безам, хьохь яла","моя любовь, с тобою нет"
"са ницкъ бац.","сил расстаться."
"хьо гари са туьйсуш, н1абарха сам йюлу,","тоскуя увидеть тебя, просыпаюсь ото сна,"
"даг чура ца волуш, тилйелла со лела,","оттого что не покидаешь моего сердца, блуждаю заблудившись,"
"алахьа ахь соьга, сан хьоме, сан хазниг","скажи ты мне, мой милый, мой красивый,"
"х1у бехк бу са, безам, хьо воцуш ца магар?","виновата ли я, любовь, что не могу без тебя"
"нани бера д1аскъастор мел хала ду хаа,","известно, как тяжела разлука матери и дитя,"
"хьо виц ва, хьо вита цул хала ду суна","забыть тебя, тебя оставить еще сложнее для меня."
"боданяхь некъ лоьхуш, б1арзвелла таг санна,","ища дорогу во тьме, словно слепец,"
"безамо б1арзина, хиза со тахана.","ослепленная любовью мучаюсь сегодня я."
"Са безам хьохь яла са ницкъ бац.","Моя любовь, нет сил оставить тебя."
"Вайн дегнех кхерсташ ю алу,","В наших сердцах пылает огонь,"
"Вайн ирсан дайъина доь,","Мы потеряли свое счастье,"
"Ларйойла хьо везчу Дала,",Береги тебя Всевышний!
"Бусулба сан Нохчийчоь!Дог доьхна бер санна, г1ийла,",Правоверная моя Чечня!
"Дог доьхна бер санна, г1ийла,","Как ребенок без настроения,"
"Оллалой ма хьежа соьга,","Не смотри на меня грустно,"
"Хьан седа лепийта сирла,",Чтобы звезда твоя горела ярко
"Со лойла хьан, Нохчийчоь!",Я принесу тебе в жертву себя!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
"Ларъе везчу Дала, хьо!",Храни тебя Всевышний!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Йохийна, х1оттор яц гуора,","Сломив тебя ты не станешь на колени,"
Турпалла бей тур бац хоь,"Не дадим сломить твою гордость,"
"Йиш яц дашо малх хьан кхола,","Невозможно твое золотое солнце победить,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Даш кхетта эгча, син метта,","Пуля попавшая в душу,"
"Маршаллаш кхоьхьуьйташ хьоь,","Посылая тебе привет,"
"Леш болчу хьан к1ентийн метта,","Вместо твоих погибающих сыновей,"
"Со лойла хьан, Нохчийчоь!",Я приношу тебе в жертву себя!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
"Ларъе везчу Дала, хьо!",Храни тебя Всевышний!
"Лаиллах1а иллалах1,","Нет бога кроме Аллаха,"
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Лечано хелхар деш говза,","Когда видишь танцующий сокол искусно,"
"Баланаш, г1айг1анаш тоь.",Притупляются горе и боль.
"Махкана дерриг ду ловзар,",Для Родины - это веселье
"Елало, сан Нохчийчоь!",Улыбнись моя Чечня!
"Вайн дегнех кхерсташ ю алу,","В наших сердцах пылает огонь,"
"Вайн ирсан дайъина доь,","Мы потеряли свое счастье,"
"Ларйойла хьо везчу Дала,",Береги тебя Всевышний!
Бусулба сан Нохчийчоь!,Правоверная моя Чечня!
"Иордани, Иордани","Иордания, Иордания"
Гене суна ганза мохк,"Далекий край, который я не видел"
Бахнаш тесна Башлаш аре,Ушедшим с просторов Башлаша
Муха беха хьуна чохь?,Как живется им у тебя?
Йицъеллий-те Кавказ царна,Забыли ли они Кавказ?
Дицделлий-те шовданаш,Забыли ли родники?
Дегахь юй-те царахь цхьаннаъ,Помнит ли кто нибудь из них
"Ваьхна юрт, я дедайн каш","Аул, где родились или предков могилы"
Дерриге я дац а делла,Позабыли ль все что было
"малхо боттуш, боцу-те",Под палящим солнцем
"Я ирс льохуш, хьаьвда лелла","Или в поисках счастья, гоняясь за ним"
Г1амарш хегош доккху де,В песке копавшись день за днем
Йицъеллий-те тулг1еш Теркан,"Не забыли ль волны Терека,"
Дегахь дуй-те Орга хи?,Помнят ли реку Аргун
Хезча холкъан илли декаш,Слыша родные мелодии
Хьодий-те хьа б1аргех хи?,Слезятся ль глаза?
Маршо йоцуш Даймохк боцуш,"Без спокойствия, без Родины"
Хийра мохкахь дисе-те,В чужой стране неужто вы остались
"Ловзарш хаьдда, хелхарш доцуш","Нет свадеб, нет танцев"
Сатийсаран яйна ц1е,В ожидании гаснет огонь
